Gênesis (GEN)
Capítulo 33: 22
Capítulo 34: 22
Capítulo 35: 28
Capítulo 36: 12
Capítulo 37: 40
Capítulo 38: 22
Capítulo 39: 13
Capítulo 40: 17
Capítulo 41: 13
Capítulo 42: 11
Capítulo 43: 5
Capítulo 44: 26
Capítulo 45: 17
Capítulo 46: 11
Capítulo 47: 9
Capítulo 48: 14
Capítulo 49: 20
Capítulo 50: 23
Capítulo 51: 19
Capítulo 52: 9
Capítulo 53: 6
Capítulo 54: 7
Capítulo 55: 23
Capítulo 56: 13
Capítulo 57: 11
Capítulo 58: 11
Capítulo 59: 17
Capítulo 60: 12
Capítulo 61: 8
Capítulo 62: 12
Capítulo 63: 11
Capítulo 64: 10
Capítulo 65: 13
Capítulo 66: 20
Capítulo 67: 7
Capítulo 68: 35
Capítulo 69: 36
Capítulo 70: 5
Capítulo 71: 24
Capítulo 72: 20
Capítulo 73: 28
Capítulo 74: 23
Capítulo 75: 10
Capítulo 76: 12
Capítulo 77: 20
Capítulo 78: 72
Capítulo 79: 13
Capítulo 80: 19
Capítulo 81: 16
Capítulo 82: 8
Capítulo 83: 18
Capítulo 84: 12
Capítulo 85: 13
Capítulo 86: 17
Capítulo 87: 7
Capítulo 88: 18
Capítulo 89: 52
Capítulo 90: 17
Capítulo 91: 16
Capítulo 92: 15
Capítulo 93: 5
Capítulo 94: 23
Capítulo 95: 11
Capítulo 96: 13
Capítulo 97: 12
Capítulo 98: 9
Capítulo 99: 9
Capítulo 100: 5
Capítulo 101: 8
Capítulo 102: 28
Capítulo 103: 22
Capítulo 104: 35
Capítulo 105: 45
Capítulo 106: 48
Capítulo 107: 43
Capítulo 108: 13
Capítulo 109: 31
Capítulo 110: 7
Capítulo 111: 10
Capítulo 112: 10
Capítulo 113: 9
Capítulo 114: 8
Capítulo 115: 18
Capítulo 116: 19
Capítulo 117: 2
Capítulo 118: 29
Capítulo 119: 176
Capítulo 120: 7
Capítulo 121: 8
Capítulo 122: 9
Capítulo 123: 4
Capítulo 124: 8
Capítulo 125: 5
Capítulo 126: 6
Capítulo 127: 5
Capítulo 128: 6
Capítulo 129: 8
Capítulo 130: 8
Capítulo 131: 3
Capítulo 132: 18
Capítulo 133: 3
Capítulo 134: 3
Capítulo 135: 21
Capítulo 136: 26
Capítulo 137: 9
Capítulo 138: 8
Capítulo 139: 24
Capítulo 140: 13
Capítulo 141: 10
Capítulo 142: 7
Capítulo 143: 12
Capítulo 144: 15
Capítulo 145: 21
Capítulo 146: 10
Capítulo 147: 20
Capítulo 148: 14
Capítulo 149: 9
Capítulo 150: 6

Provérbios (PRO)
Capítulos: 31
Versículos por capítulo:
Capítulo 1: 33
Capítulo 2: 22
Capítulo 3: 35
Capítulo 4: 27
Capítulo 5: 23
Capítulo 6: 35
Capítulo 7: 27
Capítulo 8: 36
Capítulo 9: 18
Capítulo 10: 32
Capítulo 11: 31
Capítulo 12: 28
Capítulo 13: 25
Capítulo 14: 35
Capítulo 15: 33
Capítulo 16: 33
Capítulo 17: 28
Capítulo 18: 24
Capítulo 19: 29
Capítulo 20: 30
Capítulo 21: 31
Capítulo 22: 29
Capítulo 23: 35
Capítulo 24: 34
Capítulo 25: 28
Capítulo 26: 28
Capítulo 27: 27
Capítulo 28: 28
Capítulo 29: 27
Capítulo 30: 33
Capítulo 31: 31

Eclesiastes (ECC)
Capítulos: 12
Versículos por capítulo:
Capítulo 1: 18
Capítulo 2: 26
Capítulo 3: 22
Capítulo 4: 16
Capítulo 5: 20
Capítulo 6: 12
Capítulo 7: 29
Capítulo 8: 17
Capítulo 9: 18
Capítulo 10: 20
Capítulo 11: 10
Capítulo 12: 14

Cânticos (SNG)
Capítulos: 8
Versículos por capítulo:
Capítulo 1: 17
Capítulo 2: 17
Capítulo 3: 11
Capítulo 4: 16
Capítulo 5: 16
Capítulo 6: 13
Capítulo 7: 13
Capítulo 8: 14

Isaías (ISA)
Capítulos: 66
Versículos por capítulo:
Capítulo 1: 31
Capítulo 2: 22
Capítulo 3: 26
Capítulo 4: 6
Capítulo 5: 30
Capítulo 6: 13
Capítulo 7: 25
Capítulo 8: 22
Capítulo 9: 21
Capítulo 10: 34
Capítulo 11: 16
Capítulo 12: 6
Capítulo 13: 22
Capítulo 14: 32
Capítulo 15: 9
Capítulo 16: 14
Capítulo 17: 14
Capítulo 18: 7
Capítulo 19: 25
Capítulo 20: 6
Capítulo 21: 17
Capítulo 22: 25
Capítulo 23: 18
Capítulo 24: 23
Capítulo 25: 12
Capítulo 26: 21
Capítulo 27: 13
Capítulo 28: 29
Capítulo 29: 24
Capítulo 30: 33
Capítulo 31: 9
Capítulo 32: 20
Capítulo 33: 24
Capítulo 34: 17
Capítulo 35: 10
Capítulo 36: 22
Capítulo 37: 38
Capítulo 38: 22
Capítulo 39: 8
Capítulo 40: 31
Capítulo 41: 29
Capítulo 42: 25
Capítulo 43: 28
Capítulo 44: 28
Capítulo 45: 25
Capítulo 46: 13
Capítulo 47: 15
Capítulo 48: 22
Capítulo 49: 26
Capítulo 50: 11
Capítulo 51: 23
Capítulo 52: 15
Capítulo 53: 12
Capítulo 54: 17
Capítulo 55: 13
Capítulo 56: 12
Capítulo 57: 21
Capítulo 58: 14
Capítulo 59: 21
Capítulo 60: 22
Capítulo 61: 11
Capítulo 62: 12
